ID,Guest Name,Phone Number,Room_id,Date Arrived
B567,Broni Williams,0244889900,02,21-05-2023
C217,Nkay Boame,0243678904,03,21-05-2023
Y678,Vince Churchill,0267890342,04,21-05-2023
A676,Miriam Quansah,0278098231,05,21-05-2023
B458,Kofi Arthur,0591549087,07,23-07-2023
B459,Boakye Kofi,0243568749,08,23-07-2023
DS234,Seshie Dorcas,0532109810,10,23-07-2023
HC123,Evans Hamsa,0563456098,13,23-07-2023
SY123,Yawlui Sharon,0244745232,12,23-07-2023
UJ234,Uncle Joe,0523451903,09,23-07-2023
MO567,Ofori Michael,0592344000,24,23-07-2023
SG123,Gawu Sidney,0274123098,27,24-07-2023
BS459,Bukayo Saka,0591826522,90,23-34-2023
IH777,Iddriss Hamidu,0591839370,56,31-10-2023
AH213,Alexa Harrison,0573124586,100,31-10-2023
AD300,Andrews Damptey,0278094214,102,31-10-2023
LJ236,Lebron James,0262339022,500,31-10-2023
SC301,Stephen Curry,0338904214,900,31-10-2023
KD117,Kevin Durant,0563098234,06,31-10-2023
KZ034,Kyle Kuzma,0594329902,800,31-10-2023
SM333,Samuel Koomson,0591829323,43,31-10-2023
ET777,Ekow Turkson,591845678,544,3-11-2023
KL56,Kendrick Lamar,565432345,56,07-11-23
